subject,#class,accuracy(%),#training_data
EL070,3,89.98696493,183
CS449,2,83.33333333,24
NS132,4,82.88888889,35
CS399,2,79.33333333,19
CS488,3,76.14906832,87
CS300,3,76.12820513,51
SW478,4,74.55411255,51
CJ317,4,74,29
CS401,3,72.34257548,266
CS459,3,70.98989899,38
CS115,5,70.83333333,27
SW212,4,70.13772176,65
SW221,4,69.58006536,64
CS285,3,69.04761905,19
MW314,4,68.997003,46
SW213,4,67.5990676,50
SW475,2,66.66666667,45
CS342,5,66.6107464,265
CJ321,3,65.42857143,32
CJ315,4,65.42857143,20
CS302,6,64.54876922,270
SC173,6,64.49466089,96
CS388,3,63.23809524,24
AT326,4,62.96746024,176
TU130,6,61.92847083,453
MW313,2,61.66666667,28
CS429,4,61.02020202,40
CJ316,3,60.77777778,28
HO201,6,60.75629397,205
CS408,3,60.42857143,21
TA395,4,60.30952381,33
AT316,4,60.0952381,113
CS301,5,59.8672717,336
CS348,6,59.48051948,30
MA216,5,58.88888889,28
CS281,6,58.71412574,376
SW365,5,58.41339869,72
CS486,5,57.7004644,67
CS341,6,57.40939267,354
SC185,6,57.31608832,548
CS223,6,57.05733153,531
CS326,5,56.79465449,112
CS365,5,56.54461415,189
CS385,5,56.37636088,144
CS289,6,54.81522056,145
EL295,6,54.79121272,470
CS402,6,54.3075307,198
CS261,6,53.68077641,384
CS487,6,53.67416335,110
CS374,6,53.39950358,271
CS101,6,53.16802497,758
CS395,6,53.15498575,204
CS251,6,52.90795684,376
CS457,4,52.19047619,25
PY228,6,51.07709577,564
CS407,2,51.07142857,28
TU100,5,50.95265105,168
CS213,6,50.43878024,612
CS377,5,50.28679654,55
SO201,6,49.73232323,35
TU110,6,49.70127705,532
CS222,6,49.27808476,392
CS297,4,49.22222222,42
TU120,6,48.75706585,518
CS456,5,48.66267066,54
CS286,5,48.34498834,42
CS366,5,48.16138763,57
CS489,5,48.08058431,101
CS396,5,48.06637807,44
TH161,6,48.05684761,719
CS446,3,47.82828283,40
CS215,5,47.79761905,64
CS386,5,47.16138763,63
CS284,6,47.06359413,492
CS409,4,47.05555556,64
SW111,6,47.02328945,83
ES356,5,46.65268065,44
CS214,5,46.38608481,390
CS311,6,45.99042897,274
CS426,4,45.92857143,24
EL172,6,45.77422206,557
SW335,4,45.35858586,40
CS211,6,44.83588761,105
MA211,6,43.73430666,854
TU122,6,43.55145929,112
EL395,6,43.25985729,353
MA332,6,42.48067227,407
CS111,6,42.46409013,667
LA209,5,42.41666667,55
CS367,4,42.40896359,77
CS356,3,41.89393939,39
CS387,4,41.81041181,43
BA291,4,41.71428571,46
CS102,6,41.40451918,772
HR201,3,40.75252525,39
CS288,5,40.71759259,112
CS467,5,40.14005602,53
SC123,6,39.75523349,100
CS397,4,39.71428571,32
EL171,6,38.93103518,608
CS314,6,38.86286313,407
CS427,6,37.27383727,44
ST216,6,36.43859079,498
MA212,6,36.36290556,431
TU154,6,33.93198743,756
CS296,6,33.88187465,91
SC135,6,32.15609724,592
CS105,6,30.88122648,238
CS295,6,29.48351648,56
CS398,5,27.91269841,32
